identifier,title,creator,date,language
captives_2211_librivox,The Captives,Titus Maccius Plautus,2022-11-06T00:00:00Z,eng
captivesflame_bt_1302_librivox,Captives of the Flame,Samuel R. Delany,2013-02-14T00:00:00Z,eng
captivity_of_nearly_three_years_among_the_savage_librivox,A Captivity of Nearly Three Years Among the Savages of Nootka Sound,John R. Jewitt,2017-09-22T00:00:00Z,eng
captivity_restoration_rowlandson_0912_librivox,A Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary Rowlandson,2009-12-10T00:00:00Z,eng
capturefortwilliammary_2406_librivox,The Capture of Fort William and Mary,Charles Lathrop Parsons,2024-06-03T00:00:00Z,eng
captures_ls_2108_librivox,Captures,John Galsworthy,2021-08-21T00:00:00Z,eng
caracteres_2208_librivox,Les caractères,Jean de La Bruyère,2022-08-16T00:00:00Z,fre
caravaners_2408_librivox,The Caravaners,Elizabeth von Arnim,2024-08-15T00:00:00Z,eng
cardinal_de_richelieu_pn_1605_librivox,Cardinal de Richelieu,Eleanor C. Price,2016-05-15T00:00:00Z,eng
cardinal_wolsey_ver2_2110_librivox,Cardinal Wolsey (Version 2),Mandell Creighton,2021-10-31T00:00:00Z,eng
cardinalwolsey_1607_librivox,Cardinal Wolsey,Mandell Creighton,2016-07-19T00:00:00Z,eng
cardinalwolsey_2212_librivox,The Life and Death of Cardinal Wolsey,George Cavendish,2022-12-31T00:00:00Z,eng
cardtrick_1403_librivox,Card Trick,John Berryman,2014-03-24T00:00:00Z,eng
care_insane_ab_librivox,How to Care for the Insane,William D. Granger,2011-10-11T00:00:00Z,eng
careers_danger_daring_1011,Careers of Danger and Daring,Cleveland Moffett,2010-11-20T00:00:00Z,eng
carelton_0809_librivox,The Father of British Canada: a Chronicle of Carleton,William Wood,2008-09-24T00:00:00Z,eng
caribootrail_1402_librivox,Chronicles of Canada Volume 23 - The Cariboo Trail: A Chronicle of the Gold-fields of British Columbia,Agnes C. Laut,2014-02-22T00:00:00Z,eng
carlos_iv_1005_librivox,La Corte de Carlos IV,Benito Pérez Gald&oacute;s,2010-06-02T00:00:00Z,spa
carmen_1710_librivox,Carmen,Prosper Mérimée,2017-10-30T00:00:00Z,eng
carmen_venusille_neb_1009,Carmen et la Vénus d'Ille,"Mérimée, Prosper",2010-09-28T00:00:00Z,fre
carmilla_1903_librivox,Carmilla,Joseph Sheridan Le Fanu,2019-03-27T00:00:00Z,eng
carmilla_2011_librivox,Carmilla (Version 3),Joseph Sheridan Le Fanu,2020-11-03T00:00:00Z,eng
carmilla_s_lefanu_librivox,Carmilla,"LeFanu, Joseph Sheridan",2007-04-12T00:00:00Z,eng
carnacki_ghostfinder_1209_librivox,"Carnacki, The Ghost Finder",William Hope Hodgson,2012-09-06T00:00:00Z,eng
carol_collection_0912,Christmas Carol Collection 2009,Various,2009-12-19T00:00:00Z,mul
carolinachansons_1210_librivox,Carolina Chansons: Legends of the Low Country,DuBose Heyward and Hervey Allen,2012-10-13T00:00:00Z,eng
carolinetheillustriousvol1_2401_librivox,"Caroline the Illustrious, Vol. 1",William Henry Wilkins,2024-01-06T00:00:00Z,eng
carpentersaf_1710_librivox,Carpenter's Geographical Reader: Africa,Frank G. Carpenter,2017-10-16T00:00:00Z,eng
carpentersau_1703_librivox,Carpenter's geographical reader: Australia and the Islands,Frank G. Carpenter,2017-03-31T00:00:00Z,eng
carpenterseu_1707_librivox,Carpenter's geographical reader: Europe,Frank G. Carpenter,2017-07-05T00:00:00Z,eng
carpentersna_1612_librivox,Carpenter's geographical reader: North America,Frank G. Carpenter,2016-12-31T00:00:00Z,eng
carpenterssa_1707_librivox,Carpenter's geographical reader: South America,Frank G. Carpenter,2017-07-07T00:00:00Z,eng
carrados_librivox,Four Max Carrodos Detective Stories,Ernest Bramah,2006-11-12T13:58:35Z,eng
carry_on_1702_librivox,Carry On!,Virna Sheard,2017-02-06T00:00:00Z,eng
carryonjeeves_2111_librivox,"Carry On, Jeeves",P. G. Wodehouse,2021-11-04T00:00:00Z,eng
cartas_de_inglaterra_1805_librivox,Cartas de Inglaterra,José Maria de Eça de Queirós,2018-05-11T00:00:00Z,por
cartasalucilio_2408_librivox,Cartas a Lucilio (seleccionadas),Lucius Annaeus Seneca,2024-08-05T00:00:00Z,spa
carteadeaur_2110_librivox,Cartea de Aur,Alexandru Macedonski,2021-10-04T00:00:00Z,ron
carved_lions_1405_librivox,The Carved Lions,Mary Louisa Molesworth,2014-05-31T00:00:00Z,eng
carvedcupboard_1508_librivox,The Carved Cupboard (Dramatic Reading),Amy Le Feuvre,2015-08-11T00:00:00Z,eng
casanovas_heimfahrt_0903_librivox,Casanovas Heimfahrt,Arthur Schnitzler,2009-03-06T00:00:00Z,deu
casavelha_1504_librivox,Casa Velha,Joaquim Maria Machado de Assis,2015-04-21T00:00:00Z,por
cascanueces_1703_librivox,Historia de un cascanueces,Alexandre Dumas,2017-03-27T00:00:00Z,spa
case_rletter_1301_dw_librivox,The Case Of The Registered Letter,Auguste Groner,2013-01-23T00:00:00Z,eng
casebook_holmes_part_1_2304_librivox,The Casebook of Sherlock Holmes Part 1,Sir Arthur Conan Doyle,2023-04-03T00:00:00Z,eng
casebookholmes_2304_librivox,The Case-Book of Sherlock Holmes,Sir Arthur Conan Doyle,2023-04-03T00:00:00Z,eng
casebooksherlockholmes_2303_librivox,The Case-Book of Sherlock Holmes,Sir Arthur Conan Doyle,2023-03-09T00:00:00Z,eng
caseofmisselliott_2008_librivox,The Case of Miss Elliott,Baroness Emma Orczy,2020-08-08T00:00:00Z,eng
casepending_2408_librivox,Case Pending,Elizabeth Linington,2024-08-08T00:00:00Z,eng
casewithninesolutions_2406_librivox,The Case With Nine Solutions,Alfred Walter Stewart,2024-06-10T00:00:00Z,eng
caseyatthebat_1212_librivox,Casey at the Bat,Ernest Lawrence Thayer,2012-12-30T00:00:00Z,eng
cask_2401_librivox,The Cask,Freeman Wills Crofts,2024-01-26T00:00:00Z,eng
caspar_hauser_1208_librivox,Caspar Hauser oder die Traegheit des Herzens,Jakob Wassermann,2012-08-21T00:00:00Z,deu
cassells_vegetarian_cookery_1704_librivox,Cassell's Vegetarian Cookery,Arthur Gay Payne,2017-04-19T00:00:00Z,eng
cassenoisette_1904_librivox,Casse-noisette et le roi des souris,E. T. A. Hoffmann,2019-04-27T00:00:00Z,fre
castaways_flag_2005_librivox,The Castaways of the Flag,Jules Verne,2020-05-27T00:00:00Z,eng
castle-builder_1903.poem_librivox,The Castle-Builder,Henry Wadsworth Longfellow,2019-03-10T00:00:00Z,eng
castle_of_otranto_0810_librivox,The Castle of Otranto,Horace Walpole,2008-10-06T00:00:00Z,eng
castle_of_twilight_2103_librivox,The Castle of Twilight,Margaret Horton Potter,2021-03-01T00:00:00Z,eng
castle_otranto2_2111_librivox,The Castle of Otranto,Horace Walpole,2021-11-28T00:00:00Z,eng
castlecourtdiamondmystery_2105_librivox,The Castlecourt Diamond Mystery,Geraldine Bonner,2021-05-06T00:00:00Z,eng
castledcragofdrachenfels_2109.poem_librivox,The Castled Crag of Drachenfels,"George Gordon, Lord Byron",2021-09-19T00:00:00Z,eng
castleofthecarpathians_1812_librivox,The Castle of the Carpathians,Jules Verne,2018-12-09T00:00:00Z,eng
castlerackrent_1602_librivox,Castle Rackrent,Maria Edgeworth,2016-02-07T00:00:00Z,eng
castlerichmond_1411_librivox,Castle Richmond,Anthony Trollope,2014-11-21T00:00:00Z,eng
castles_in_the_air_lr_librivox,Castles in the Air,Baroness Emmuska Orczy,2009-06-21T00:00:00Z,eng
castles_of_athlin_and_dunbayne_1909_librivox,The Castles of Athlin and Dunbayne,Ann Radcliffe,2019-09-03T00:00:00Z,eng
castlespectre_1706_librivox,The Castle Spectre,Matthew Lewis,2017-06-01T00:00:00Z,eng
cat_bubastes_0912_librivox,The Cat of Bubastes,G. A. Henty,2010-01-02T00:00:00Z,eng
cat_tales_0909_librivox,Cat Tales,Various,2009-09-11T00:00:00Z,eng
catalog_testimonies_1111_librivox,The Catalog of Testimonies,"Jakob Andreae, Martin Chemnitz",2011-11-25T00:00:00Z,eng
catalogs_to_sleep_by_2308_librivox,Catalogs to Sleep By,Various,2023-08-25T00:00:00Z,eng
catastrophe_socialchange_2403_librivox,"Catastrophe and Social Change, Based Upon a Sociological Study of the Halifax Disaster",Samuel Henry Prince,2024-03-10T00:00:00Z,eng
catechism_02_1202_librivox,"Baltimore Catechism, No. 2",anonymous,2012-02-27T00:00:00Z,eng
categories_1004_librivox,Categories,Aristotle,2010-04-26T00:00:00Z,eng
catena_aurea_john_part_2_2010_librivox,Catena Aurea: St. John - Vol 4 part 2,Saint Thomas Aquinas,2020-10-26T00:00:00Z,eng
catena_aurea_luke_1_2101_librivox,Catena Aurea (Gospel of St. Luke - Part 1),Saint Thomas Aquinas,2021-01-05T00:00:00Z,eng
catena_aurea_luke_2_2101_librivox,Catena Aurea (Gospel of St. Luke - Part 2),Saint Thomas Aquinas,2021-01-31T00:00:00Z,eng
catena_aurea_mark_2102_librivox,Catena Aurea: Gospel of St. Mark,Saint Thomas Aquinas,2021-02-24T00:00:00Z,eng
catenaaureamatthew3_2009_librivox,"Catena Aurea, St. Matthew - Vol 1, Part 3",Saint Thomas Aquinas,2020-09-27T00:00:00Z,eng
catenaaureastjohnvol4part1_2010_librivox,"Catena Aurea, St. John - Vol 4, Part 1",Saint Thomas Aquinas,2020-10-31T00:00:00Z,eng
catenaaureastmatthew-vol_1_part_2_2008_librivox,"Catena Aurea, St. Matthew - Vol 1, Part 2",Saint Thomas Aquinas,2020-08-13T00:00:00Z,eng
catenamatthewvol1pt1_2007_librivox,"Catena Aurea, St. Matthew - Vol 1, Part 1",Saint Thomas Aquinas,2020-07-03T00:00:00Z,eng
catharine_debora_1802_librivox,"Catharine de Bora; or, Social and Domestic Scenes in the Life of Luther",John G. Morris,2018-02-23T00:00:00Z,eng
cathay_librivox,Cathay,Ezra Pound,2006-10-07T00:00:00Z,eng
cathedral_1509_librivox,The Cathedral,Hugh Walpole,2015-09-11T00:00:00Z,eng
cathedralcourtship_rf_1109,A Cathedral Courtship,Kate Douglas Wiggin,2011-09-14T00:00:00Z,eng
cathedralsinger_1612_librivox,A Cathedral Singer,James Lane Allen,2016-12-20T00:00:00Z,eng
catherine_booth_1907_librivox,Catherine Booth,Mildred Duff,2019-07-15T00:00:00Z,eng
catherineastory_2401_librivox,Catherine: A Story,William Makepeace Thackeray,2024-01-12T00:00:00Z,eng
catherinedemedici_1807_librivox,Catherine De' Medici,Honoré de Balzac,2018-07-10T00:00:00Z,eng
catherinehoward_1702_librivox,Catherine Howard,Alexandre Dumas,2017-02-26T00:00:00Z,eng
catherines_coquetries_2308_librivox,Catherine's Coquetries: A Tale of French Country Life,Camille Debans,2023-08-13T00:00:00Z,eng
catholic_anticatholic_history_1108_librivox,Catholic and Anti-Catholic History,Various,2011-08-25T00:00:00Z,eng
catholicchurch_2203_librivox,The Catholic Church and Conversion,G. K. Chesterton,2022-03-01T00:00:00Z,eng
catholicsreadyanswer_2107_librivox,The Catholic's Ready Answer,Rev. M.P. Hill,2021-07-26T00:00:00Z,eng
catilinarias_2207_librivox,Catilinarias,Marcus Tullius Cicero,2022-07-16T00:00:00Z,spa
catiline_conspiracy_and_jugurthine_war_0911_librivox,The Catiline Conspiracy and the Jugurthine War,Gaius Sallustius Crispus (Sallust),2009-11-13T00:00:00Z,eng
cato_2211_librivox,Cato,Joseph Addison,2022-11-15T00:00:00Z,eng
catriona_1906_librivox,Catriona,Robert Louis Stevenson,2019-06-18T00:00:00Z,eng
cats_characteristics_1312_librivox,"Cats: Their Points and Characteristics, with Curiosities of Cat Life, and a Chapter on Feline Ailments",W. Gordon Stables,2013-12-06T00:00:00Z,eng
catsbytheway_1211_librivox,Cats by the Way,Sarah E. Trueblood,2012-11-17T00:00:00Z,eng
catseye_2411_librivox,The Cat's Eye,R. Austin Freeman,2024-11-15T00:00:00Z,eng
catseyes_2411_librivox,The Cat's Eye,R. Austin Freeman,2024-11-16T00:00:00Z,eng
catspaw_2201_librivox,The Cat's Paw,Natalie Sumner Lincoln,2022-01-19T00:00:00Z,eng
cattle_brands_kh_librivox1,Cattle Brands,Andy Adams,2008-01-18T00:00:00Z,eng
caucasus_no_hagetaka_um_librivox,コーカサスの禿鷹 (Caucasus no Hagetaka),Yoshio Toyoshima,2012-05-09T00:00:00Z,jpn
causes_of_civil_war_2106_librivox,The Causes Of The American Civil War,John Lothrop Motley,2021-06-14T00:00:00Z,eng
causes_of_the_american_civil_war_secession_statements_1_librivox,"Causes Of The American Civil War: Secession Statements Of Five Confederate States (South Carolina, Texas, Virginia, Georgia, Mississippi)",Various,2018-09-09T00:00:00Z,eng
cautiva_1702_librivox,La Cautiva,Esteban Echeverría,2017-02-08T00:00:00Z,spa
cave_girl_2010_librivox,The Cave Girl,Edgar Rice Burroughs,2020-10-11T00:00:00Z,eng
cavecliffdwellers_2106_librivox,In the Land of Cave and Cliff Dwellers,Frederick Schwatka,2021-06-20T00:00:00Z,eng
caveonthundercloud_1707_librivox,The Cave On Thunder Cloud,Mary Roberts Rinehart,2017-07-27T00:00:00Z,eng
caverns_2411.poem_librivox,Caverns,Madison Cawein,2024-11-15T00:00:00Z,eng
caves_of_fear_bt_1402_librivox,The Caves of Fear,Harold Goodwin,2014-02-09T00:00:00Z,eng
cavour_2105_librivox,Cavour,Countess Evelyn Martinengo-Cesaresco,2021-05-21T00:00:00Z,eng
caxtons_2108_librivox,The Caxtons: A Family Picture,Edward Bulwer-Lytton,2021-08-08T00:00:00Z,eng
cb018_pirates_1904_librivox,Coffee Break Collection 18 - Pirates,Various,2019-04-13T00:00:00Z,eng
cb019_plants_flowers_1905_librivox,Coffee Break Collection 19 - Plants and Flowers,Various,2019-05-17T00:00:00Z,eng
cb023-_mysteries_puzzles_conundrums_1910_librivox,"Coffee Break Collection 23 -- Mysteries, Riddles and Conundrums",Various,2019-10-14T00:00:00Z,eng
cb025_1911_librivox,Coffee Break Collection 25 -- Water,Various,2019-11-30T00:00:00Z,eng
cb027_sports_2004_librivox,Coffee Break Collection 27 - Sports,Various,2020-04-25T00:00:00Z,eng
cb13_weather_1712_librivox,Coffee Break Collection 13 - Weather,Various,2017-12-29T00:00:00Z,eng
cb14_new_beginnings_1803_librivox,Coffee Break Collection 14 - New Beginnings,Various,2018-03-02T00:00:00Z,eng
cb15_worldofwork_1804_librivox,Coffee Break Collection 15 - World of Work,Various,2018-04-15T00:00:00Z,eng
cb16_crime_1806_librivox,Coffee Break Collection 16 -- Crime,Various,2018-06-15T00:00:00Z,eng
cb20_old_age_1907_librivox,Coffee Break Collection 20 -- Old Age,Various,2019-07-26T00:00:00Z,eng
cb21_--_fairytales_tallstories_scams_1908_librivox,"Coffee Break Collection 21 -- Fairy Tales, Tall Stories and Scams",Various,2019-08-16T00:00:00Z,eng
cb22_days_gone_by_1909_librivox,Coffee Break Collection 22 -- Days Gone By,Various,2019-09-11T00:00:00Z,eng
cb24_ghosts_1911_librivox,"Coffee Break Collection 24 -- Ghosts, Ghouls and Spooky Things",Various,2019-11-01T00:00:00Z,eng
cb_26_small_world_2002_librivox,Coffee Break Collection 26 -- It's a Small World,Various,2020-02-08T00:00:00Z,eng
cbc028_hobbies_2009_librivox,Coffee Break Collection 028 - Hobbies,Various,2020-09-11T00:00:00Z,eng
cbc030_2103_librivox,Coffee Break Collection 30 - Mythical Creatures,Various,2021-03-22T00:00:00Z,eng
cbc031_springtime_2105_librivox,Coffee Break Collection 31 - Springtime,Various,2021-05-04T00:00:00Z,eng
cbc032_wilderness_2112_librivox,Coffee Break Collection 032 - Wilderness,Various,2021-12-30T00:00:00Z,eng
cbc034_vacations_2301_librivox,Coffee Break Collection 034 - Vacations,Various,2023-01-21T00:00:00Z,eng
cbc035_birds_2303_librivox,Coffee Break Collection 035 - Birds,Various,2023-03-14T00:00:00Z,eng
cbc038_horses_2312_librivox,Coffee Break Collection 038 - Horses,Various,2023-12-22T00:00:00Z,eng
cbc039-magic_2406_librivox,Coffee Break Collection 039 - Magic,Various,2024-06-09T00:00:00Z,eng
cbc29_dogs_2101_librivox,Coffee Break Collection 29 - Dogs,Various,2021-01-11T00:00:00Z,eng
cbc36_cats_2304_librivox,Coffee Break Collection 036 - Cats,Various,2023-04-09T00:00:00Z,eng
cbc37_2307_librivox,Coffee Break Collection 037 - More Birds,Various,2023-07-02T00:00:00Z,eng
cbc_033_2202_librivox,Coffee Break Collection 033 - Gardening,Various,2022-02-03T00:00:00Z,eng
ccc16_1612_librivox,Christmas Carol Collection 2016,Various,2016-12-13T00:00:00Z,mul
ccc17_1712_librivox,Christmas Carol Collection 2017,Various,2017-12-21T00:00:00Z,mul
ccc20_2012_librivox,Christmas Carol Collection 2020,Various,2020-12-20T00:00:00Z,mul
cecilia_0906_librivox,Cecilia: Memoirs of an Heiress,Fanny Burney,2009-06-27T00:00:00Z,eng
cecilia_de_noel_1410_librivox,Cecilia de Noel,Mary Elizabeth Hawker,2014-10-25T00:00:00Z,eng
cecils_own_book_1607_librivox,Cecil's Own Book,Ann Hawkshaw,2016-07-09T00:00:00Z,eng
cedric_the_forester_2002_librivox,Cedric the Forester,Bernard Gay Marshall,2020-02-09T00:00:00Z,eng
celebrated_crimes7_3_murat_1802_librivox,"Celebrated Crimes, Vol. 7: Part 3: Murat",Alexandre Dumas,2018-02-06T00:00:00Z,eng
celebrated_crimes7_p1_ali_pacha_1710_librivox,"Celebrated Crimes, Vol. 7: Part 1: Ali Pacha",Alexandre Dumas,2017-10-17T00:00:00Z,eng
celebrated_crimes_1_1001_librivox,"Celebrated Crimes, Vol. 1",Alexandre Dumas,2010-01-30T00:00:00Z,eng
celebrated_crimes_2_1410_librivox,"Celebrated Crimes, Vol 2: The Massacres of the South",Alexandre Dumas,2014-11-17T00:00:00Z,eng
celebrated_crimes_3v2_1804_librivox,"Celebrated Crimes, Vol. 4: Part 3: Nisida (version 2)",Alexandre Dumas,2018-04-17T00:00:00Z,eng
celebrated_crimes_6_2_1903_librivox,"Celebrated Crimes, Vol. 6: Part 2: The Man in the Iron Mask, Martin Guerre",Alexandre Dumas,2019-03-30T00:00:00Z,eng
celebrated_crimes_mary_stuart_1603_librivox,"Celebrated Crimes, Vol. 3: Mary Stuart",Alexandre Dumas,2016-03-01T00:00:00Z,eng
celebrated_crimes_vol_4_1604_librivox,"Celebrated Crimes, Vol. 4: Karl-Ludwig Sand",Alexandre Dumas,2016-04-26T00:00:00Z,eng
celebrated_crimes_vol_4_part_3_nisida_1705_librivox,"Celebrated Crimes, Vol. 4: Part 3: Nisida",Alexandre Dumas,2017-05-20T00:00:00Z,eng
celebrated_crimes_vol_5_1809_librivox,"Celebrated Crimes, Vol. 5: Derues, La Constantin",Alexandre Dumas,2018-09-19T00:00:00Z,eng
celebrated_crimes_vol_5_part_1_desrues_1706_librivox,"Celebrated Crimes, Vol. 5: Part 1: Desrues",Alexandre Dumas,2017-06-25T00:00:00Z,eng
celebrated_travels_travellers1_1310_librivox,"Celebrated Travels and Travellers, vol.1",Jules Verne,2013-10-18T00:00:00Z,eng
celebrated_travels_travellers2_1410_librivox,"Celebrated Travels and Travellers, vol. 2",Jules Verne,2014-10-29T00:00:00Z,eng
celebrated_travels_travellers3_1508_librivox,"Celebrated Travels and Travellers, vol. 3",Jules Verne,2015-08-15T00:00:00Z,eng
celebrated_women_travellers_of_the_nineteenth_century_1_librivox,Celebrated Women Travellers of the Nineteenth Century,W. H. Davenport Adams,2019-01-09T00:00:00Z,eng
celebratedcrimes3_marystuart_1701_librivox,"Celebrated Crimes, Vol. 3: Mary Stuart",Alexandre Dumas,2017-01-07T00:00:00Z,eng
celebratedcrimes4_karl-ludwigsand_1701_librivox,"Celebrated Crimes, Vol. 4: Karl-Ludwig Sand",Alexandre Dumas,2017-01-19T00:00:00Z,eng
celebratedcrimes5_part2_laconstantin_1708_librivox,"Celebrated Crimes, Vol. 5: Part 2: La Constantin",Alexandre Dumas,2017-08-17T00:00:00Z,eng
celebratedcrimes6__3_martin_guerre_1709_librivox,"Celebrated Crimes, Vol. 6: Part 3: Martin Guerre",Alexandre Dumas,2017-09-24T00:00:00Z,eng
celebratedcrimes6_part1_joanofnaples_1708_librivox,"Celebrated Crimes, Vol. 6: Part 1: Joan of Naples",Alexandre Dumas,2017-08-17T00:00:00Z,eng
celebratedcrimes6_part2_themanintheironmask_1709_librivox,"Celebrated Crimes, Vol. 6: Part 2: The Man in the Iron Mask",Alexandre Dumas,2017-09-18T00:00:00Z,eng
celebratedcrimes8_1_marquisedebrinvilliers_1803_librivox,"Celebrated Crimes, Vol. 8: Part 1: The Marquise de Brinvilliers",Alexandre Dumas,2018-03-05T00:00:00Z,eng
celebratedcrimes8_3_marquisedeganges_1805_librivox,"Celebrated Crimes, Vol. 8: Part 3: The Marquise de Ganges",Alexandre Dumas,2018-05-27T00:00:00Z,eng
celebratedcrimes_8_2_vaninka_1804_librivox,"Celebrated Crimes, Vol. 8: Part 2: Vaninka",Alexandre Dumas,2018-04-29T00:00:00Z,eng
celebratedcrimes_vol_7_2_1712_librivox,"Celebrated Crimes, Vol. 7: Part 2: Countess de Saint-Geran",Alexandre Dumas,2017-12-05T00:00:00Z,eng
celebratedcrimesvol1_version_2_1611_librivox,"Celebrated Crimes, Vol. 1: The Borgias and the Cenci (version 2)",Alexandre Dumas,2016-11-30T00:00:00Z,eng
celebratedcrimesvol4_2_urbain_grandier_1703_librivox,"Celebrated Crimes, Vol 4, Part 2: Urbain Grandier",Alexandre Dumas,2017-03-21T00:00:00Z,eng
celebration_dialects_accents_vol2_1312_librivox,"Celebration of Dialects and Accents, Vol 2.",Aesop,2013-12-03T00:00:00Z,eng
celebrity_1605_librivox,The Celebrity,Winston Churchill,2016-05-19T00:00:00Z,eng
celestialomnibus_2304_librivox,"The Celestial Omnibus, and Other Stories",E. M. Forster,2023-04-01T00:00:00Z,eng
celestina_1805_librivox,Celestina,Charlotte Turner Smith,2018-05-25T00:00:00Z,eng
celibates_1108,Celibates,George Moore,2011-08-08T00:00:00Z,eng
cellarhouseofpervyse_1506_librivox,The Cellar-House of Pervyse,Mairi Chisholm and Elsie Knocker,2015-06-21T00:00:00Z,eng
celtic_fairy_tales_0903_librivox,Celtic Fairy Tales,Joseph Jacobs,2009-03-07T00:00:00Z,eng
celtic_folk_1206_librivox,Celtic Folk and Fairy Tales,Joseph Jacobs,2012-06-19T00:00:00Z,eng
celtictwilight_1408_librivox,The Celtic Twilight,William Butler Yeats,2014-08-17T00:00:00Z,eng
cent_recits_dhistoire_contemporaine_2012_librivox,Cent récits d'histoire contemporaine,Gustave Ducoudray,2020-12-28T00:00:00Z,fre
centaur_2311_librivox,The Centaur,Algernon Blackwood,2023-11-05T00:00:00Z,eng
centaurians_2108_librivox,The Centaurians,L. D. Biagi,2021-08-17T00:00:00Z,eng
centuries_of_meditations_1412_librivox,Centuries of Meditations,Thomas Traherne,2014-12-31T00:00:00Z,eng
centuriesapart_2410_librivox,Centuries Apart,Edward T. Bouvé,2024-10-02T00:00:00Z,eng
centurynegromigration_1910_librivox,A Century of Negro Migration,Carter Woodson,2019-10-29T00:00:00Z,eng
centuryofroundels_1311_librivox,A Century of Roundels,Algernon Charles Swinburne,2013-11-24T00:00:00Z,eng
ceramic_art_2002_librivox,Form and Ornament in Ceramic Art,William Henry Holmes,2020-02-23T00:00:00Z,eng
ceremonies_for_christmas_2012.poem_librivox,Ceremonies For Christmas,Robert Herrick,2020-12-13T00:00:00Z,eng
ceresrunaway_1712_librivox,Ceres’ Runaway & Other Essays,Alice Meynell,2017-12-19T00:00:00Z,eng
certainpersonalmatters_1811_librivox,Certain Personal Matters,H. G. Wells,2018-11-13T00:00:00Z,eng
certainslant_1312.poem_librivox,There's a certain slant of light,Emily Dickinson,2013-12-28T00:00:00Z,eng
certo_jams_jellies_2307_librivox,Certo: A Short Cut to Better Jams and Jellies,General Foods Corporation,2023-07-31T00:00:00Z,eng
cesar_birotteau_2311_librivox,César Birotteau,Honoré de Balzac,2023-11-02T00:00:00Z,eng
chain_destiny_bt_2208_librivox,The Chain of Destiny,Bram Stoker,2022-08-15T00:00:00Z,eng
chainofevidence_1605_librivox,A Chain of Evidence,Carolyn Wells,2016-05-09T00:00:00Z,eng
chalkface_2405_librivox,Chalk Face,Waldo Frank,2024-05-26T00:00:00Z,eng
challenge_1511_poem_librivox,Challenge,John William Streets,2015-11-08T00:00:00Z,eng
challenge_1712_librivox,Challenge,Louis Untermeyer,2017-12-26T00:00:00Z,eng
challengeofwaste_1702_librivox,The Challenge of Waste,Stuart Chase,2017-02-09T00:00:00Z,eng
chamber_music_librivox,Chamber Music,James Joyce,2006-11-24T00:00:00Z,eng
chambered_nautilus_2207.poem_librivox,The Chambered Nautilus,"Oliver Wendell Holmes, Sr.",2022-07-17T00:00:00Z,eng
chance_1203_librivox,Chance,Joseph Conrad,2012-03-11T00:00:00Z,eng
chance_ver2_2211_librivox,Chance (version 2),Joseph Conrad,2022-11-29T00:00:00Z,eng
chancellor_1006_librivox,Der Chancellor,Jules Verne,2010-06-04T00:00:00Z,deu
chancellorsville_gettysburg_ms_librivox,Chancellorsville and Gettysburg,Abner Doubleday,2011-06-27T00:00:00Z,eng
chandogya_upanishad_1503_librivox,Chandogya Upanishad,,2015-03-07T00:00:00Z,eng
chanelpassage_0909.poem_librivox,A Channel Passage,Rupert Brooke,2009-09-07T00:00:00Z,eng
changed_man_dw_1401_librivox,A Changed Man And Other Tales,Thomas Hardy,2014-01-03T00:00:00Z,eng
changeling_1212_librivox,The Changeling,Thomas Middleton and William Rowley,2012-12-30T00:00:00Z,eng
changeofair_2109_librivox,A Change of Air,Katharine Fullerton Gerould,2021-09-21T00:00:00Z,eng
channings_1401_librivox,The Channings,Mrs. Henry Wood,2014-01-29T00:00:00Z,eng
chansons_bilitis_1401_librivox,Les Chansons De Bilitis,Pierre Louÿs,2014-01-12T00:00:00Z,fre
chant_of_mystics_1903_librivox,"A Chant of Mystics, and Other Poems",Ameen Rihani,2019-03-27T00:00:00Z,eng
chant_of_the_firemen_1801.poem_librivox,Chant of the Firemen,Francis William Lauderdale Adams,2018-01-28T00:00:00Z,eng
chanticleer_1905_librivox,"The Life and Adventures of Chanticleer, the Intelligent Rooster. An interesting story in verse for children",Unknown,2019-05-18T00:00:00Z,eng
chants_for_socialists_2105_librivox,Chants for Socialists,William Morris,2021-05-19T00:00:00Z,eng
chantsmaldoror_1110_librivox,Les Chants de Maldoror,Comte de Lautréamont,2011-11-12T00:00:00Z,fre
chao_hua_si_she_jl_librivox,朝花夕拾 - Chao hua si she,鲁迅 - Lu Xun,2011-12-29T00:00:00Z,zho
chaos_0812_librivox,The Chaos,Gerard Nolst Trenité,2008-12-23T00:00:00Z,eng
chaperon_1511_librivox,The Chaperon,Henry James,2015-11-04T00:00:00Z,eng
chapteronbirds_2409_librivox,A Chapter on Birds,Richard Bowdler Sharpe,2024-09-02T00:00:00Z,eng
chaptersonevolution_2105_librivox,Chapters on Evolution,Andrew Wilson,2021-05-13T00:00:00Z,eng
character_2007_librivox,Character,Samuel Smiles,2020-07-06T00:00:00Z,eng
characterbuilding_1301_librivox,Character Building,Booker T. Washington,2013-01-08T00:00:00Z,eng
characters_of_shakespeares_2002_librivox,Characters of Shakespeare's Plays,William Hazlitt,2020-02-11T00:00:00Z,eng
charge_of_the_light_brigade_1503.poem_librivox,The Charge of the Light Brigade,"Alfred, Lord Tennyson",2015-03-15T00:00:00Z,eng
charingcrossmystery_2106_librivox,The Charing Cross Mystery,J. S. Fletcher,2021-06-06T00:00:00Z,eng
charl_einhd_0712_librivox,The Life of Charlemagne,Einhard,2007-12-16T00:00:00Z,eng
